date,Changes
2020-01-01,0.0
2020-01-02,0.0
2020-01-03,0.0
2020-01-04,0.0
2020-01-05,0.0
2020-01-06,0.0
2020-01-07,0.0
2020-01-08,0.0
2020-01-09,0.0
2020-01-10,0.0
2020-01-11,0.0
2020-01-12,0.0
2020-01-13,0.0
2020-01-14,0.0
2020-01-15,0.0
2020-01-16,0.0
2020-01-17,0.0
2020-01-18,0.0
2020-01-19,0.0
2020-01-20,0.0
2020-01-21,0.0
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,4.0
2020-01-31,-4.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,3.0
2020-02-08,-3.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,1.0
2020-02-16,-1.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,1.0
2020-02-21,-1.0
2020-02-22,0.0
2020-02-23,1.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,-1.0
2020-02-28,2.0
2020-02-29,7.0
2020-03-01,-9.0
2020-03-02,9.0
2020-03-03,-9.0
2020-03-04,12.0
2020-03-05,-6.0
2020-03-06,0.0
2020-03-07,-1.0
2020-03-08,10.0
2020-03-09,-15.0
2020-03-10,26.0
2020-03-11,12.0
2020-03-12,0.0
2020-03-13,-18.0
2020-03-14,34.0
2020-03-15,34.0
2020-03-16,11.0
2020-03-17,58.0
2020-03-18,119.0
2020-03-19,-145.0
2020-03-20,236.0
2020-03-21,-267.0
2020-03-22,520.0
2020-03-23,81.0
2020-03-24,-84.0
2020-03-25,17.0
2020-03-26,12.0
2020-03-27,90.0
2020-03-28,97.0
2020-03-29,346.0
2020-03-30,-68.0
2020-03-31,-46.0
2020-04-01,605.0
2020-04-02,-416.0
2020-04-03,113.0
2020-04-04,241.0
2020-04-05,-453.0
2020-04-06,75.0
2020-04-07,162.0
2020-04-08,84.0
2020-04-09,-93.0
2020-04-10,-213.0
2020-04-11,-105.0
2020-04-12,232.0
2020-04-13,86.0
2020-04-14,-65.0
2020-04-15,393.0
2020-04-16,81.0
2020-04-17,-322.0
2020-04-18,-38.0
2020-04-19,613.0
2020-04-20,-454.0
2020-04-21,177.0
2020-04-22,152.0
2020-04-23,-142.0
2020-04-24,-312.0
2020-04-25,75.0
2020-04-26,64.0
2020-04-27,-79.0
2020-04-28,45.0
2020-04-29,68.0
2020-04-30,186.0
2020-05-01,-172.0
2020-05-02,1107.0
2020-05-03,-1462.0
2020-05-04,-24.0
2020-05-05,176.0
2020-05-06,-24.0
2020-05-07,86.0
2020-05-08,-244.0
2020-05-09,-122.0
2020-05-10,-13.0
2020-05-11,43.0
2020-05-12,-55.0
2020-05-13,89.0
2020-05-14,-85.0
2020-05-15,126.0
2020-05-16,-113.0
2020-05-17,-68.0
2020-05-18,-30.0
2020-05-19,-29.0
2020-05-20,190.0
2020-05-21,-45.0
2020-05-22,-15.0
2020-05-23,-63.0
2020-05-24,-66.0
2020-05-25,-76.0
2020-05-26,-64.0
2020-05-27,121.0
2020-05-28,-87.0
2020-05-29,-134.0
2020-05-30,-15.0
2020-05-31,1.0
2020-06-01,-53.0
2020-06-02,-30.0
2020-06-03,-34.0
2020-06-04,-32.0
2020-06-05,113.0
2020-06-06,-80.0
2020-06-07,-97.0
2020-06-08,-136.0
2020-06-09,63.0
2020-06-10,-67.0
2020-06-11,8.0
2020-06-12,54.0
2020-06-13,-90.0
2020-06-14,-17.0
2020-06-15,-40.0
2020-06-16,66.0
2020-06-17,-19.0
2020-06-18,42.0
2020-06-19,-19.0
2020-06-20,-72.0
2020-06-21,-18.0
2020-06-22,26.0
2020-06-23,-47.0
2020-06-24,101.0
2020-06-25,-208.0
2020-06-26,66.0
2020-06-27,-20.0
2020-06-28,450.0
2020-06-29,-382.0
2020-06-30,-286.0
2020-07-01,567.0
2020-07-02,-248.0
2020-07-03,-93.0
2020-07-04,-7.0
2020-07-05,180.0
2020-07-06,-167.0
2020-07-07,35.0
2020-07-08,104.0
2020-07-09,-50.0
2020-07-10,-100.0
2020-07-11,23.0
2020-07-12,321.0
2020-07-13,-234.0
2020-07-14,10.0
2020-07-15,96.0
2020-07-16,-32.0
2020-07-17,-75.0
2020-07-18,9.0
2020-07-19,447.0
2020-07-20,-213.0
2020-07-21,-30.0
2020-07-22,-111.0
2020-07-23,102.0
2020-07-24,-184.0
2020-07-25,5.0
2020-07-26,331.0
2020-07-27,-289.0
2020-07-28,15.0
2020-07-29,-19.0
2020-07-30,120.0
2020-07-31,-226.0
2020-08-01,-2.0
2020-08-02,-138.0
2020-08-03,614.0
2020-08-04,-366.0
2020-08-05,-21.0
2020-08-06,50.0
2020-08-07,-188.0
2020-08-08,-6.0
2020-08-09,451.0
2020-08-10,-392.0
2020-08-11,134.0
2020-08-12,-33.0
2020-08-13,28.0
2020-08-14,-181.0
2020-08-15,-39.0
2020-08-16,587.0
2020-08-17,-503.0
2020-08-18,54.0
2020-08-19,47.0
2020-08-20,116.0
2020-08-21,-242.0
2020-08-22,10.0
2020-08-23,484.0
2020-08-24,-429.0
2020-08-25,126.0
2020-08-26,-47.0
2020-08-27,91.0
2020-08-28,-129.0
2020-08-29,-96.0
2020-08-30,741.0
2020-08-31,-531.0
2020-09-01,21.0
2020-09-02,72.0
2020-09-03,61.0
2020-09-04,-260.0
2020-09-05,29.0
2020-09-06,-153.0
2020-09-07,1359.0
2020-09-08,-1060.0
2020-09-09,84.0
2020-09-10,72.0
2020-09-11,-187.0
2020-09-12,3.0
2020-09-13,833.0
2020-09-14,-558.0
2020-09-15,151.0
2020-09-16,176.0
2020-09-17,-76.0
2020-09-18,-181.0
2020-09-19,12.0
2020-09-20,891.0
2020-09-21,-518.0
2020-09-22,-158.0
2020-09-23,251.0
2020-09-24,21.0
2020-09-25,-147.0
2020-09-26,239.0
2020-09-27,722.0
2020-09-28,-516.0
2020-09-29,137.0
2020-09-30,-20.0
2020-10-01,347.0
2020-10-02,-312.0
2020-10-03,-127.0
2020-10-04,1119.0
2020-10-05,-441.0
2020-10-06,-563.0
2020-10-07,636.0
2020-10-08,122.0
